generation;indiv-0;indiv-1;indiv-2;indiv-3;indiv-4;indiv-5;indiv-6;indiv-7;indiv-8;indiv-9;mean
0;16.6807;7.9208;9.3591;4.4074;-2.2665;4.9461;-9.2329;14.4853;2.1632;8.0779;5.6541
1;16.6807;7.9208;4.0794;4.0794;16.6807;3.2332;-9.2329;2.1632;-7.4032;-1.7521;3.6449
2;-7.4387;-1.1919;16.6807;-8.2232;10.4110;-2.5539;2.0528;4.4099;-2.4594;-9.6948;0.1992
3;1.4425;16.6807;3.9306;-5.7834;-9.6948;-8.2232;2.0528;1.4813;4.4099;10.4110;1.6707
4;-8.5317;6.5115;3.9306;-5.8467;-5.7834;3.9306;-5.9415;16.6807;-12.5986;10.7411;0.3093
5;3.9306;-5.8467;3.9306;10.7216;-7.5339;-7.5339;-5.8467;16.6807;-8.5317;-5.9415;-0.5971
6;16.6807;-7.2214;1.6310;16.8572;10.7216;16.6807;-6.9307;-5.8467;1.7343;2.0174;4.6324
7;5.3460;1.4893;-8.2411;3.2130;5.2506;13.0127;-7.3649;1.2852;18.9876;16.8572;4.9836
8;18.9876;3.2130;5.2506;5.3460;16.8572;16.8572;5.3460;18.9876;1.2852;18.9876;11.1118
9;16.8507;18.9876;18.9876;5.3460;8.3149;5.2506;18.9876;-7.4649;12.0498;12.0498;10.9360
10;18.9876;-6.8982;12.0498;5.3460;1.6915;1.6915;16.8507;8.2962;9.4960;-3.6860;6.3825
11;17.3918;2.9367;8.2303;2.3837;4.0171;4.0171;16.6253;3.6505;18.9876;1.7944;8.0035
12;18.9876;-8.3493;18.9876;2.4684;1.7096;2.0508;5.5876;14.4786;9.3437;-6.9835;5.8281
13;2.4684;2.4684;20.2793;18.9876;18.9876;18.9876;2.3302;17.5110;4.7898;-8.0608;9.8749
14;2.4684;2.3302;4.2756;0.0132;20.2793;-2.0794;-1.5078;18.9876;5.0491;8.0950;5.7911
15;16.3479;20.2793;4.2756;4.2756;6.1903;1.7870;4.8028;16.3479;5.0491;-1.5078;7.7848
16;0.3251;14.4187;20.2793;7.3130;16.3479;16.3479;20.5314;-2.7085;9.5400;2.3633;10.4758
17;20.5314;20.5314;16.3479;20.5314;19.9311;4.0955;18.5576;6.6011;3.1453;4.7308;13.5003
18;10.6052;10.5191;20.5314;20.5314;16.3479;19.9311;16.3479;19.9311;6.6011;18.5576;15.9904
19;18.8738;4.4842;20.5314;10.6052;20.5314;18.5358;19.9311;10.5407;19.9311;6.6011;15.0566
